Hardware,Serial Number,Current Price - Yesterday
PALIT GeForce RTX 2060 12GB GDDR6 Dual,PALMYQ8P22,4097000
GALAX Geforce RTX 2060 6GB DDR6 (1-Click OC) - DUAL FAN - Garansi 3 Thn Ready Best Seller!!!,1Q5KQ22,4350000
Inno 3D GeForce RTX 2060 6GB DDR6 Twin x2 Ready,PPEKS19,4400000
Colorful GeForce RTX 2060 6GB GDDR6 NB V2-V,8FV7U22,4469000
Colorful Geforce RTX 2060 6GB GDDR6 NB DUO-V,KCUNJ21,4469000
PNY Geforce RTX 2060 12GB DDR6 REVEL Dual Fan,89J9N22,4740000
MSI GeForce RTX 2060 6GB DDR6 - Ventus GP OC,ZQRNP21,4749000
Gigabyte GeForce RTX 2060 6GB DDR6 D6 Rev2.0 - GV-N2060D6-6GD,TVM9921,4850000
Inno 3D GeForce RTX 2060 12GB GDDR6 Twin X2 OC,SEQN222,4900000
PALIT GeForce RTX 2060 SUPER 8GB DDR6 Dual,PALYNUEM19,5259000
Asus GeForce RTX 2060 6GB DDR6 - Dual EVO OC,C73DM21,5260000
GALAX Geforce RTX 2060 12GB DDR6 PLUS (1-Click OC) - DUAL FAN - Garansi 3 Thn Ready Best Seller!!!,R533E21,5350000
Gainward GeForce RTX 2060 SUPER 8GB GDDR6 - Ghost,RDXM321,5399000
Colorful GeForce RTX 2060 SUPER 8GB GDDR6 NB 8G-V,8T1D221,5407000
PALIT GeForce RTX 3060 12GB GDDR6 Dual Ready,PALA4AXH21,5499000
GALAX Geforce RTX 3060 12GB DDR6 (1-Click OC) - DUAL FAN - Garansi 3 Thn,RD7SS21,5500000
GALAX Geforce RTX 2060 SUPER 8GB DDR6 (1-Click OC) V2 - DUAL FAN - Garansi 3 Thn Ready Best Seller!!!,YNAAB22,5550000
MSI GeForce RTX 2060 12GB DDR6 - Ventus OC,8U61221,5569000
Gigabyte GeForce RTX 2060 12GB GDDR6 Windforce OC - GV-N2060WF2OC-12GD,WTS1222,5640000
Gainward GeForce RTX 3060 12GB GDDR6 - Ghost LHR,JNXDX21,5699000
Asus GeForce RTX 2060 12GB DDR6 - Dual EVO OC Edition,0Z7YE22,5760000
Zotac GeForce RTX 3060 12GB GDDR6 Twin Edge-LHR,XDQ8822,5790000
