Hardware,Serial Number,Current Price - Yesterday,Delta_From Site
"BenQ MOBIUZ 27"" EX2710S FHD IPS Gaming Monitor 165Hz",JKDMB21,4499000,1045000
"BenQ 23.8"" GW2480 FHD IPS Slim Bezel Design",Y344S19,1950000,777000
"BenQ 21.5"" GW2283 LED IPS",XEP2F19,1560000,740000
Gskill DDR4 TridentZ RGB PC28800 64GB (2x32GB) Dual Channel F4-3600C18D-64GTZR,S45M921,4570000,530000
ADATA DDR5 XPG CASTER PC48000 6000MHz 32GB (2X16GB) Dual Channel - RGB - AX5U6000C4016G-DCCARGY Ready Best Seller!!!,RRBAP22,3958000,501000
"GALAX VIVANCE-01 27"" QHD IPS Gaming Monitor 165Hz with G-SYNC - Response Time 1ms Ready",H50JP22,4850000,400000
"Lenovo L29w-30 29"" WFHD IPS Edgeless Design 90Hz",33F5U21,3290000,260000
"BenQ 32"" EW3270U UHD 4K Multimedia Monitor",Y01FK19,7800000,179000
Gskill DDR4 TridentZ Royal Elite PC41000 16GB (2x8GB) Dual Channel F4-5066C20D-16GTES,ZUVDD21,2830000,167000
"SAMSUNG 27"" LC27R500 CURVED LED Wide Screen",99UV319,2325000,165000
"LG 21.45"" 22MP410-B FHD with AMD FreeSync Ready",PR1XQ22,1330000,160000
V-GeN TsunamiR DDR4 PC21000 2666Mhz Dual Channel 32GB (2x16GB) 16-18-18-35,EJ1ZF21,1588000,150000
V-GeN TsunamiR DDR4 PC21000 2666Mhz Dual Channel 32GB (2x16GB) 15-17-17-35,Q8WAZ21,1598000,150000
V-GeN TsunamiR DDR4 PC24000 3000Mhz Dual Channel 32GB (2x16GB) 15-17-17-35,SAAZF21,1658000,150000
V-GeN TsunamiR DDR4 PC25600 3200Mhz Dual Channel 32GB (2x16GB) 16-18-18-36,5Z2FD21,1718000,150000
ADATA DDR5 XPG CASTER PC51200 6400MHz 32GB (2X16GB) Dual Channel - RGB - AX5U6400C4016G-DCCARGY,UU66Y22,5000000,132000
"LG 24"" LED 24TL520V - Built In TV Tuner",CX34F21,1295000,125000
"LG 21.5"" 22MK400H-B FHD with AMD FreeSync Ready Best Seller!!!",BUNX818,1390000,120000
"SAMSUNG 34"" S34A650 Ultra WQHD Professional Curved Monitor with USB-C",WD2FH21,6550000,120000
"Lenovo D27-30 27"" LED",UC94220,2090000,119000
North Bayou AVA1500-60-1P Bracket Standing Monitor 32-70 Inch,NorYVX2Q21,1350000,100000
"ASUS VY249HE 23.8"" FHD IPS 75Hz Ready",QRAJP21,2279000,100000
V-GeN TsunamiR DDR4 PC25600 3200Mhz Dual Channel 16GB (2x8GB) 16-18-18-36,S3M3K21,928000,100000
V-GeN TsunamiR DDR4 PC27000 3333Mhz Dual Channel 16GB (2x8GB) 16-18-18-36,FBA4521,968000,100000
"BenQ 24"" SW240 WUXGA IPS Photo Editing Monitor with Shield",BRVH020,8790000,98000
"BenQ 27"" PD2700U 4K UHD IPS Design",CE8CR20,9499000,96000
"ACER 19.5"" K202HQL LED Wide Screen",230670a8-5bcb-404b-929c-cc87393d210f,1120000,95000
V-GeN TsunamiR DDR4 PC21000 2666Mhz Dual Channel 16GB (2x8GB) 16-18-18-35,9UP1521,848000,90000
V-GeN TsunamiR DDR4 PC21000 2666Mhz Dual Channel 16GB (2x8GB) 15-17-17-35,BU8DU21,858000,90000
V-GeN TsunamiR DDR4 PC24000 3000Mhz Dual Channel 16GB (2x8GB) 15-17-17-35,MCQRS21,898000,90000
V-GeN TsunamiR DDR4 PC28800 3600Mhz Dual Channel 16GB (2x8GB) 18-19-19-39,HUEPF21,1038000,90000
"BenQ 28"" EL2870U UHD 4K HDR Gaming Monitor",35H9U19,4860000,89000
"BenQ 27"" EX2780Q QHD 2K Gaming Monitor 144Hz",RZRRD20,7890000,89000
Sandisk MicroSD Extreme Pro 256GB U3 4K V30 R170MB/s W90MB/s V30 A2 - SDSQXCZ-256G,2Y27918,650000,85000
Gskill DDR4 TridentZ Royal PC32000 16GB (2x8GB) Dual Channel F4-4000C15D-16GTRG,DFX9N20,2687000,78000
V-GeN TsunamiR DDR4 PC25600 3200Mhz Single Channel 16GB (1x16GB) 16-18-18-36,4HRRW21,868000,75000
V-GeN TsunamiR DDR4 PC24000 3000Mhz Single Channel 16GB (1x16GB) 15-17-17-35,ZPK0421,838000,75000
V-GeN TsunamiR DDR4 PC21000 2666Mhz Single Channel 16GB (1x16GB) 15-17-17-35,VM6M621,808000,75000
V-GeN TsunamiR DDR4 PC21000 2666Mhz Single Channel 16GB (1x16GB) 16-18-18-35,N4J4B21,803000,75000
ADATA DDR5 XPG LANCER PC41600 5200MHz 32GB (2X16GB) Dual Channel - RGB - AX5U5200C3816G-DCLARBK,CKQ0722,3318000,75000
ADATA DDR5 XPG LANCER WHITE VERSION PC41600 5200MHz 32GB (2X16GB) Dual Channel - RGB - AX5U5200C3816G-DCLARWH,VBR3Y22,3318000,75000
"BenQ 27"" PD2700Q QHD 2K IPS Design Monitor",MYBEX19,6190000,72000
"HP 23.8"" M24fwa FHD IPS Monitor 75Hz Ready",QPHEU21,2230000,70000
"SAMSUNG 27"" 27FG70FQE Curved Gaming LED",X2T6C17,6390000,70000
Logitech G640 Large Gaming Mouse Pad,1c849248-005c-4cf0-b113-200822f187e8,345000,70000
"Xiaomi Mi 34"" WQHD Curved Gaming Monitor 144Hz",EN6E421,6010000,65000
"ASUS TUF Gaming VG249Q1A 23.8"" IPS Gaming Monitor 165Hz Ready",VJP3321,3230000,60000
Toshiba 4TB SATA3 128MB 5400RPM - P300 Series,6Y6JX20,1175000,60000
ADATA DDR4 XPG GAMMIX D30 PC25600 3200MHz 32GB (2X16GB) Dual Channel - AX4U320016G16A-DR30 Ready Best Seller!!!,ZM7N821,1575000,59000
"SAMSUNG 32"" C32HG70Q QHD 144Hz Curved Gaming Monitor with Quantum Dot",098b56be-3a89-4505-be97-688f855b5207,9315000,59000
ADATA DDR4 XPG SPECTRIX D41 GREY PC25600 3200MHz 32GB (2X16GB) Dual Channel - RGB - AX4U320016G16A-DT41,3C71J21,1676000,57000
ADATA DDR4 XPG SPECTRIX D45G WHITE VERSION PC28800 3600MHz 32GB (2X16GB) Dual Channel - RGB - AX4U360016G18I-DCWHD45G Ready Best Seller!!!,DPV7T22,1796000,56000
ADATA DDR4 XPG SPECTRIX D45G PC28800 3600MHz 32GB (2X16GB) Dual Channel - RGB - AX4U360016G18I-DCBKD45G,HUSBK21,1796000,56000
ADATA DDR4 XPG SPECTRIX D60G PC25600 3200MHz 32GB (2X16GB) Dual Channel - RGB - AX4U320016G16A-DT60 Ready Best Seller!!!,U6EEB19,1796000,56000
